split,method,success_rate,success_rate,unsafe_rate,unsafe_rate,human_effort,human_effort,mean_cost,mean_cost,agreement,agreement
,,mean,std,mean,std,mean,std,mean,std,mean,std
distribution-shift,Always Act,0.410775,0.004467241878385357,0.240125,0.003366888400288911,0.0,0.0,1.0694750000000002,0.01094960044933147,0.184725,0.001594423877141848
distribution-shift,Always Ask,0.760875,0.004109820555693407,0.23912499999999998,0.0041098205556934,1.0,0.0,0.817375000000095,0.012329461667083435,0.122,0.002769814975770045
distribution-shift,Cost-aware Learned,0.98045,0.001545153714036247,0.011949999999999999,0.001171270677512248,0.852625,0.009898705723477178,0.26913249999997885,0.0023615011115825494,0.8812749999999999,0.011462711284857499
distribution-shift,Fixed Threshold,0.67055,0.00674397879593348,0.228775,0.005526498665520513,0.5923,0.002339537881719386,0.8490250000000614,0.017474273500638668,0.22115,0.0035525079169510597
distribution-shift,Learned Policy,0.976825,0.0020852907471141944,0.014075,0.0015350081433008753,0.814925,0.005970369544676461,0.26845249999998017,0.0033146620302849134,0.90665,0.0019673109820259513
in-distribution,Always Act,0.6697,0.0031753444695024413,0.09057499999999999,0.004427894533522683,0.0,0.0,0.51145,0.00901673790791328,0.523775,0.002582089754443139
in-distribution,Always Ask,0.909075,0.0031802613886282964,0.090925,0.0031802613886282994,1.0,0.0,0.37277499999994623,0.009540784165884714,0.28035,0.007631861666723259
in-distribution,Cost-aware Learned,0.9521499999999999,0.0015895164359011735,0.020450000000000003,0.001330530909073518,0.47995,0.003204732828177734,0.17668499999999132,0.004858718002209671,0.98905,0.0022266145827241567
in-distribution,Fixed Threshold,0.7024,0.0032934594274106276,0.092375,0.0040350030978922495,0.09855,0.005229573357359086,0.492209999999994,0.008253575929559175,0.526325,0.001874166481399102
in-distribution,Learned Policy,0.9503,0.0019537623959939424,0.02095,0.0017015617825985633,0.475375,0.0028034576865007426,0.17764749999999135,0.004226390303793527,0.993975,0.0009576990654688224
