config,mode,num_cubes,method,success_rate,unsafe_rate,ask_rate,defer_rate,human_effort,mean_cost,agreement,n
train_c3,train,3,Always Act,0.602,0.102,0.0,0.0,0.0,0.602,0.444,500
train_c3,train,3,Always Ask,0.9,0.1,1.0,0.0,1.0,0.399999999999997,0.372,500
train_c3,train,3,Fixed Threshold,0.612,0.084,0.07,0.0,0.07,0.5629999999999998,0.446,500
train_c3,train,3,Learned Policy,0.972,0.01,0.372,0.184,0.556,0.14039999999999975,1.0,500
train_c3,train,3,Cost-aware Learned,0.966,0.008,0.366,0.19,0.556,0.1435999999999998,0.994,500
shift_c3,shift,3,Always Act,0.55,0.108,0.0,0.0,0.0,0.666,0.372,500
shift_c3,shift,3,Always Ask,0.906,0.094,1.0,0.0,1.0,0.381999999999996,0.438,500
shift_c3,shift,3,Fixed Threshold,0.598,0.106,0.13,0.0,0.13,0.627,0.396,500
shift_c3,shift,3,Learned Policy,0.958,0.016,0.404,0.244,0.648,0.1875999999999992,0.93,500
shift_c3,shift,3,Cost-aware Learned,0.962,0.018,0.382,0.29,0.6719999999999999,0.19919999999999888,0.888,500
shift_c4,shift,4,Always Act,0.496,0.104,0.0,0.0,0.0,0.712,0.346,500
shift_c4,shift,4,Always Ask,0.874,0.126,1.0,0.0,1.0,0.47799999999999604,0.47,500
shift_c4,shift,4,Fixed Threshold,0.546,0.114,0.174,0.0,0.174,0.6994000000000008,0.402,500
shift_c4,shift,4,Learned Policy,0.956,0.026,0.426,0.252,0.6779999999999999,0.21419999999999878,0.92,500
shift_c4,shift,4,Cost-aware Learned,0.976,0.012,0.41,0.296,0.706,0.1777999999999991,0.87,500
